id,name,date,venue,location,attendance
517,UFC on ESPN: Woodley vs. Burns,2020-05-30,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
518,UFC 250: Nunes vs. Spencer,2020-06-06,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
522,UFC 251: Usman vs. Masvidal,2020-07-12,du Forum,"Abu Dhabi, United Arab Emirates",0.0
523,UFC on ESPN: Kattar vs. Ige,2020-07-16,du Forum,"Abu Dhabi, United Arab Emirates",0.0
524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,du Forum,"Abu Dhabi, United Arab Emirates",0.0
525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,"Abu Dhabi, United Arab Emirates",0.0
526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
528,UFC 252: Miocic vs. Cormier 3,2020-08-15,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
530,UFC Fight Night: Smith vs. Rakić,2020-08-29,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
532,UFC Fight Night: Waterson vs. Hill,2020-09-12,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
533,UFC Fight Night: Covington vs. Woodley,2020-09-19,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
534,UFC 253: Adesanya vs. Costa,2020-09-27,du Forum,"Abu Dhabi, United Arab Emirates",0.0
535,UFC on ESPN: Holm vs. Aldana,2020-10-04,du Forum,"Abu Dhabi, United Arab Emirates",0.0
536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,du Forum,"Abu Dhabi, United Arab Emirates",0.0
537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,du Forum,"Abu Dhabi, United Arab Emirates",0.0
538,UFC 254: Khabib vs. Gaethje,2020-10-24,du Forum,"Abu Dhabi, United Arab Emirates",0.0
539,UFC Fight Night: Hall vs. Silva,2020-10-31,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
542,UFC 255: Figueiredo vs. Perez,2020-11-21,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
543,UFC on ESPN: Smith vs. Clark,2020-11-28,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
545,UFC 256: Figueiredo vs. Moreno,2020-12-12,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
546,UFC Fight Night: Thompson vs. Neal,2020-12-19,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
547,UFC on ABC: Holloway vs. Kattar,2021-01-16,Etihad Arena,"Abu Dhabi, United Arab Emirates",2000.0
548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,Etihad Arena,"Abu Dhabi, United Arab Emirates",2000.0
549,UFC 257: Poirier vs. McGregor 2,2021-01-24,Etihad Arena,"Abu Dhabi, United Arab Emirates",2600.0
550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
551,UFC 258: Usman vs. Burns,2021-02-13,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
556,UFC on ESPN: Brunson vs. Holland,2021-03-20,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
558,UFC on ABC: Vettori vs. Holland,2021-04-10,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
560,UFC 261: Usman vs. Masvidal 2,2021-04-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",15269.0
561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
563,UFC 262: Oliveira vs. Chandler,2021-05-15,Toyota Center,"Houston, Texas, U.S.",16005.0
564,UFC Fight Night: Font vs. Garbrandt,2021-05-22,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
565,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
566,UFC 263: Adesanya vs. Vettori 2,2021-06-12,Gila River Arena,"Glendale, Arizona, U.S.",17208.0
567,UFC on ESPN: The Korean Zombie vs. Ige,2021-06-19,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
568,UFC Fight Night: Gane vs. Volkov,2021-06-26,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
569,UFC 264: Poirier vs. McGregor 3,2021-07-10,T-Mobile Arena,"Las Vegas, Nevada, U.S.",20062.0
570,UFC on ESPN: Makhachev vs. Moisés,2021-07-17,UFC Apex,"Las Vegas, Nevada, U.S.",0.0
571,UFC on ESPN: Sandhagen vs. Dillashaw,2021-07-24,UFC Apex,"Las Vegas, Nevada, U.S.",51.0
572,UFC on ESPN: Hall vs. Strickland,2021-07-31,UFC Apex,"Las Vegas, Nevada, U.S.",
573,UFC 265: Lewis vs. Gane,2021-08-07,Toyota Center,"Houston, Texas, U.S.",16604.0
574,UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,UFC Apex,"Las Vegas, Nevada, U.S.",
575,UFC on ESPN: Barboza vs. Chikadze,2021-08-28,UFC Apex,"Las Vegas, Nevada, U.S.",
576,UFC Fight Night: Brunson vs. Till,2021-09-04,UFC Apex,"Las Vegas, Nevada, U.S.",
577,UFC Fight Night: Smith vs. Spann,2021-09-18,UFC Apex,"Las Vegas, Nevada, U.S.",
578,UFC 266: Volkanovski vs. Ortega,2021-09-25,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19029.0
579,UFC Fight Night: Santos vs. Walker,2021-10-02,UFC Apex,"Las Vegas, Nevada, U.S.",
580,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,UFC Apex,"Las Vegas, Nevada, U.S.",
581,UFC Fight Night: Ladd vs. Dumont,2021-10-16,UFC Apex,"Las Vegas, Nevada, U.S.",
582,UFC Fight Night: Costa vs. Vettori,2021-10-23,UFC Apex,"Las Vegas, Nevada, U.S.",
583,UFC 267: Błachowicz vs. Teixeira,2021-10-30,Etihad Arena,"Abu Dhabi, United Arab Emirates",10171.0
584,UFC 268: Usman vs. Covington 2,2021-11-06,Madison Square Garden,"New York, New York, U.S.",20715.0
585,UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,UFC Apex,"Las Vegas, Nevada, U.S.",
586,UFC Fight Night: Vieira vs. Tate,2021-11-20,UFC Apex,"Las Vegas, Nevada, U.S.",
587,UFC on ESPN: Font vs. Aldo,2021-12-04,UFC Apex,"Las Vegas, Nevada, U.S.",
588,UFC 269: Oliveira vs. Poirier,2021-12-11,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18471.0
589,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,UFC Apex,"Las Vegas, Nevada, U.S.",
590,UFC on ESPN: Kattar vs. Chikadze,2022-01-15,UFC Apex,"Las Vegas, Nevada, U.S.",
591,UFC 270: Ngannou vs. Gane,2022-01-22,Honda Center,"Anaheim, California, U.S.",17387.0
592,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,UFC Apex,"Las Vegas, Nevada, U.S.",
593,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,Toyota Center,"Houston, Texas, U.S.",17872.0
594,UFC Fight Night: Walker vs. Hill,2022-02-19,UFC Apex,"Las Vegas, Nevada, U.S.",
595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,"Las Vegas, Nevada, U.S.",
596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19425.0
597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,"Las Vegas, Nevada, U.S.",
598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,"London, England, UK",17081.0
599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,"Columbus, Ohio, U.S.",18630.0
600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",14605.0
601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,UFC Apex,"Las Vegas, Nevada, U.S.",
602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,UFC Apex,"Las Vegas, Nevada, U.S.",
603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,"Las Vegas, Nevada, U.S.",
604,UFC 274: Oliveira vs. Gaethje,2022-05-07,Footprint Center,"Phoenix, Arizona, U.S.",17232.0
605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,UFC Apex,"Las Vegas, Nevada, U.S.",
606,UFC Fight Night: Holm vs. Vieira,2022-05-21,UFC Apex,"Las Vegas, Nevada, U.S.",
607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,"Las Vegas, Nevada, U.S.",
608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore",10787.0
609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,"Austin, Texas, U.S.",13689.0
610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,"Las Vegas, Nevada, U.S.",
611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19649.0
612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,"Las Vegas, Nevada, U.S.",
613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,"Hempstead, New York, U.S.",16979.0
614,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,The O2 Arena,"London, England, UK",17813.0
615,UFC 277: Peña vs. Nunes 2,2022-07-30,American Airlines Center,"Dallas, Texas, U.S.",19442.0
616,UFC on ESPN: Santos vs. Hill,2022-08-06,UFC Apex,"Las Vegas, Nevada, U.S.",
617,UFC on ESPN: Vera vs. Cruz,2022-08-13,Pechanga Arena,"San Diego, California, U.S.",12804.0
618,UFC 278: Usman vs. Edwards 2,2022-08-20,Delta Center,"Salt Lake City, Utah, U.S.",18321.0
619,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Accor Arena,"Paris, France",15405.0
620,UFC 279: Diaz vs. Ferguson,2022-09-10,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19125.0
621,UFC Fight Night: Sandhagen vs. Song,2022-09-17,UFC Apex,"Las Vegas, Nevada, U.S.",
622,UFC Fight Night: Dern vs. Yan,2022-10-01,UFC Apex,"Las Vegas, Nevada, U.S.",
623,UFC Fight Night: Grasso vs. Araújo,2022-10-15,UFC Apex,"Las Vegas, Nevada, U.S.",
624,UFC 280: Oliveira vs. Makhachev,2022-10-22,Etihad Arena,"Abu Dhabi, United Arab Emirates",13400.0
625,UFC Fight Night: Kattar vs. Allen,2022-10-29,UFC Apex,"Las Vegas, Nevada, U.S.",
626,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,UFC Apex,"Las Vegas, Nevada, U.S.",
627,UFC 281: Adesanya vs. Pereira,2022-11-12,Madison Square Garden,"New York, New York, U.S.",20845.0
628,UFC Fight Night: Nzechukwu vs. Cuțelaba,2022-11-19,UFC Apex,"Las Vegas, Nevada, U.S.",
629,UFC on ESPN: Thompson vs. Holland,2022-12-03,Kia Center,"Orlando, Florida, U.S.",17065.0
630,UFC 282: Błachowicz vs. Ankalaev,2022-12-10,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18455.0
631,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,UFC Apex,"Las Vegas, Nevada, U.S.",
632,UFC Fight Night: Strickland vs. Imavov,2023-01-14,UFC Apex,"Las Vegas, Nevada, U.S.",
633,UFC 283: Teixeira vs. Hill,2023-01-21,Farmasi Arena,"Rio de Janeiro, Brazil",13604.0
634,UFC Fight Night: Lewis vs. Spivac,2023-02-04,UFC Apex,"Las Vegas, Nevada, U.S.",
635,UFC 284: Makhachev vs. Volkanovski,2023-02-12,Perth Arena,"Perth, Australia",14124.0
636,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,UFC Apex,"Las Vegas, Nevada, U.S.",
637,UFC Fight Night: Muniz vs. Allen,2023-02-25,UFC Apex,"Las Vegas, Nevada, U.S.",
638,UFC 285: Jones vs. Gane,2023-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19471.0
639,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,The Theater at Virgin Hotels,"Las Vegas, Nevada, U.S.",2361.0
640,UFC 286: Edwards vs. Usman 3,2023-03-18,The O2 Arena,"London, England, UK",17588.0
641,UFC on ESPN: Vera vs. Sandhagen,2023-03-25,Frost Bank Center,"San Antonio, Texas, U.S.",16076.0
642,UFC 287: Pereira vs. Adesanya 2,2023-04-08,Kaseya Center,"Miami, Florida, U.S.",19032.0
643,UFC on ESPN: Holloway vs. Allen,2023-04-15,T-Mobile Center,"Kansas City, Missouri, U.S.",16234.0
644,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,UFC Apex,"Las Vegas, Nevada, U.S.",
645,UFC on ESPN: Song vs. Simón,2023-04-29,UFC Apex,"Las Vegas, Nevada, U.S.",
646,UFC 288: Sterling vs. Cejudo,2023-05-06,Prudential Center,"Newark, New Jersey, U.S.",17559.0
647,UFC on ABC: Rozenstruik vs. Almeida,2023-05-13,Spectrum Center,"Charlotte, North Carolina, U.S.",18712.0
648,UFC Fight Night: Dern vs. Hill,2023-05-20,UFC Apex,"Las Vegas, Nevada, U.S.",
649,UFC on ESPN: Kara-France vs. Albazi,2023-06-03,UFC Apex,"Las Vegas, Nevada, U.S.",
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,"Vancouver, British Columbia, Canada",17628.0
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,"Las Vegas, Nevada, U.S.",
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",14101.0
653,UFC on ESPN: Strickland vs. Magomedov,2023-07-01,UFC Apex,"Las Vegas, Nevada, U.S.",
654,UFC 290: Volkanovski vs. Rodríguez,2023-07-08,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19204.0
655,UFC on ESPN: Holm vs. Bueno Silva,2023-07-15,UFC Apex,"Las Vegas, Nevada, U.S.",
656,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,The O2 Arena,"London, England, UK",15078.0
657,UFC 291: Poirier vs. Gaethje 2,2023-07-29,Delta Center,"Salt Lake City, Utah, U.S.",18467.0
658,UFC on ESPN: Sandhagen vs. Font,2023-08-05,Bridgestone Arena,"Nashville, Tennessee, U.S.",17792.0
659,UFC on ESPN: Luque vs. dos Anjos,2023-08-12,UFC Apex,"Las Vegas, Nevada, U.S.",
660,UFC 292: Sterling vs. O'Malley,2023-08-19,TD Garden,"Boston, Massachusetts, U.S.",18293.0
661,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Singapore Indoor Stadium,"Kallang, Singapore",10263.0
662,UFC Fight Night: Gane vs. Spivac,2023-09-02,Accor Arena,"Paris, France",15610.0
663,UFC 293: Adesanya vs. Strickland,2023-09-10,Qudos Bank Arena,"Sydney, Australia",18168.0
664,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18766.0
665,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,UFC Apex,"Las Vegas, Nevada, U.S.",
666,UFC Fight Night: Dawson vs. Green,2023-10-07,UFC Apex,"Las Vegas, Nevada, U.S.",
667,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,UFC Apex,"Las Vegas, Nevada, U.S.",
668,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,Etihad Arena,"Abu Dhabi, United Arab Emirates",
669,UFC Fight Night: Almeida vs. Lewis,2023-11-04,Ginásio do Ibirapuera,"São Paulo, Brazil",10792.0
670,UFC 295: Procházka vs. Pereira,2023-11-11,Madison Square Garden,"New York, New York, U.S.",19039.0
671,UFC Fight Night: Allen vs. Craig,2023-11-18,UFC Apex,"Las Vegas, Nevada, U.S.",
672,UFC on ESPN: Dariush vs. Tsarukyan,2023-12-02,Moody Center,"Austin, Texas, U.S.",14485.0
673,UFC Fight Night: Song vs. Gutiérrez,2023-12-09,UFC Apex,"Las Vegas, Nevada, U.S.",
674,UFC 296: Edwards vs. Covington,2023-12-16,T-Mobile Arena,"Las Vegas, Nevada, U.S.",19039.0
675,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,UFC Apex,"Las Vegas, Nevada, U.S.",
676,UFC 297: Strickland vs. du Plessis,2024-01-20,Scotiabank Arena,"Toronto, Ontario, Canada",18559.0
677,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,UFC Apex,"Las Vegas, Nevada, U.S.",
678,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,UFC Apex,"Las Vegas, Nevada, U.S.",
679,UFC 298: Volkanovski vs. Topuria,2024-02-17,Honda Center,"Anaheim, California, U.S.",18186.0
680,UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Arena Ciudad de México,"Mexico City, Mexico",21546.0
681,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,UFC Apex,"Las Vegas, Nevada, U.S.",
682,UFC 299: O'Malley vs. Vera 2,2024-03-09,Kaseya Center,"Miami, Florida, U.S.",19165.0
683,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,UFC Apex,"Las Vegas, Nevada, U.S.",
684,UFC on ESPN: Ribas vs. Namajunas,2024-03-23,UFC Apex,"Las Vegas, Nevada, U.S.",
685,UFC on ESPN: Blanchfield vs. Fiorot,2024-03-30,Boardwalk Hall,"Atlantic City, New Jersey, U.S.",12198.0
686,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,UFC Apex,"Las Vegas, Nevada, U.S.",
687,UFC 300: Pereira vs. Hill,2024-04-13,T-Mobile Arena,"Las Vegas, Nevada, U.S.",20067.0
688,UFC on ESPN: Nicolau vs. Perez,2024-04-27,UFC Apex,"Las Vegas, Nevada, U.S.",
689,UFC 301: Pantoja vs. Erceg,2024-05-04,Farmasi Arena,"Rio de Janeiro, Brazil",14514.0
690,UFC on ESPN: Lewis vs. Nascimento,2024-05-11,Enterprise Center,"St. Louis, Missouri, U.S.",15960.0
691,UFC Fight Night: Barboza vs. Murphy,2024-05-18,UFC Apex,"Las Vegas, Nevada, U.S.",
692,UFC 302: Makhachev vs. Poirier,2024-06-01,Prudential Center,"Newark, New Jersey, U.S.",17834.0
693,UFC on ESPN: Cannonier vs. Imavov,2024-06-08,KFC Yum! Center,"Louisville, Kentucky, U.S.",19578.0
694,UFC on ESPN: Perez vs. Taira,2024-06-15,UFC Apex,"Las Vegas, Nevada, U.S.",
695,UFC on ABC: Whittaker vs. Aliskerov,2024-06-22,Kingdom Arena,"Riyadh, Saudi Arabia",
696,UFC 303: Pereira vs. Procházka 2,2024-06-29,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18881.0
697,UFC on ESPN: Namajunas vs. Cortez,2024-07-13,Ball Arena,"Denver, Colorado, U.S.",16884.0
698,UFC on ESPN: Lemos vs. Jandiroba,2024-07-20,UFC Apex,"Las Vegas, Nevada, U.S.",
699,UFC 304: Edwards vs. Muhammad 2,2024-07-27,Co-op Live,"Manchester, England, UK",17907.0
700,UFC on ABC: Sandhagen vs. Nurmagomedov,2024-08-03,Etihad Arena,"Abu Dhabi, United Arab Emirates",
701,UFC on ESPN: Tybura vs. Spivac 2,2024-08-10,UFC Apex,"Las Vegas, Nevada, U.S.",
702,UFC 305: du Plessis vs. Adesanya,2024-08-18,Perth Arena,"Perth, Australia",14152.0
703,UFC on ESPN: Cannonier vs. Borralho,2024-08-24,UFC Apex,"Las Vegas, Nevada, U.S.",
